Cassette #,Layer #,Material,Thickness (mm),Cumulative Thickness (mm),Radition Length (g/cm2),Density (g/cm3),# of Radiation Lengths,Layerwise Radiation Lentgh,Cumulative Radiation Length,Z values,Z min,Z max
,,glue,0.075,1098.36,42.6,1.3,0.00023,3.00126,60.08342,4308.8225,4308.785,4308.86
24,37,Si,0.3,1098.66,21.21,2.33,0.00330,3.00455,60.08672,4309.01,4308.86,4309.16
,,glue,0.075,1098.735,42.6,1.3,0.00023,0.00023,60.08694,4309.1975,4309.16,4309.235
,,kapton,0.1,1098.835,40.596,1.11,0.00027,0.00050,60.08722,4309.285,4309.235,4309.335
,,glue,0.075,1098.91,42.6,1.3,0.00023,0.00073,60.08745,4309.3725,4309.335,4309.41
,,baseplate (PCB),1,1099.91,31.84,1.7,0.00534,0.00607,60.09279,4309.91,4309.41,4310.41
,,Cooling plate (Cu),6.35,1106.26,12.86,8.96,0.44243,0.44850,60.53521,4313.585,4310.41,4316.76
,,Absorber plate,60.7,1166.96,13.918,8.02,3.49773,3.94623,64.03294,4347.11,4316.76,4377.46
,,Air,4,1170.96,37.1,0.0012,0.00001,3.94624,64.03295,4379.46,4377.46,4381.46
,,Stainless Steel,2.5,1173.46,13.918,8.02,0.14406,4.09030,64.17701,4382.71,4381.46,4383.96
,,Air,0.4,1173.86,37.1,0.0012,0.00000,4.09030,64.17701,4384.16,4383.96,4384.36
,,PCB,1.6,1175.46,31.84,1.7,0.00854,4.09884,64.18556,4385.16,4384.36,4385.96
,,Air('electronics'),3.475,1178.935,37.1,0.0012,0.00001,4.09885,64.18557,4387.6975,4385.96,4389.435
,,PCB (Hexaboard),1.6,1180.535,31.84,1.7,0.00854,4.10740,64.19411,4390.235,4389.435,4391.035
,,glue,0.075,1180.61,42.6,1.3,0.00023,4.10762,64.19434,4391.0725,4391.035,4391.11
25,38,Si,0.3,1180.91,21.21,2.33,0.00330,4.11092,64.19763,4391.26,4391.11,4391.41
,,glue,0.075,1180.985,42.6,1.3,0.00023,0.00023,64.19786,4391.4475,4391.41,4391.485
,,kapton,0.1,1181.085,40.596,1.11,0.00027,0.00050,64.19814,4391.535,4391.485,4391.585
,,glue,0.075,1181.16,42.6,1.3,0.00023,0.00073,64.19837,4391.6225,4391.585,4391.66
,,baseplate (PCB),1,1182.16,31.84,1.7,0.00534,0.00607,64.20370,4392.16,4391.66,4392.66
,,Cooling plate (Cu),6.35,1188.51,12.86,8.96,0.44243,0.44850,64.64613,4395.835,4392.66,4399.01
,,Absorber plate,60.7,1249.21,13.918,8.02,3.49773,3.94623,68.14386,4429.36,4399.01,4459.71
,,Air,4,1253.21,37.1,0.0012,0.00001,3.94624,68.14387,4461.71,4459.71,4463.71
,,Stainless Steel,2.5,1255.71,13.918,8.02,0.14406,4.09030,68.28793,4464.96,4463.71,4466.21
,,Air,0.4,1256.11,37.1,0.0012,0.00000,4.09030,68.28793,4466.41,4466.21,4466.61
,,PCB,1.6,1257.71,31.84,1.7,0.00854,4.09884,68.29648,4467.41,4466.61,4468.21
,,Air('electronics'),3.475,1261.185,37.1,0.0012,0.00001,4.09885,68.29649,4469.9475,4468.21,4471.685
,,PCB (Hexaboard),1.6,1262.785,31.84,1.7,0.00854,4.10740,68.30503,4472.485,4471.685,4473.285
,,glue,0.075,1262.86,42.6,1.3,0.00023,4.10762,68.30526,4473.3225,4473.285,4473.36
26,39,Si,0.3,1263.16,21.21,2.33,0.00330,4.11092,68.30855,4473.51,4473.36,4473.66
,,glue,0.075,1263.235,42.6,1.3,0.00023,0.00023,68.30878,4473.6975,4473.66,4473.735
,,kapton,0.1,1263.335,40.596,1.11,0.00027,0.00050,68.30906,4473.785,4473.735,4473.835
,,glue,0.075,1263.41,42.6,1.3,0.00023,0.00073,68.30929,4473.8725,4473.835,4473.91
,,baseplate (PCB),1,1264.41,31.84,1.7,0.00534,0.00607,68.31462,4474.41,4473.91,4474.91
,,Cooling plate (Cu),6.35,1270.76,12.86,8.96,0.44243,0.44850,68.75705,4478.085,4474.91,4481.26
,,Absorber plate,60.7,1331.46,13.918,8.02,3.49773,3.94623,72.25478,4511.61,4481.26,4541.96
,,Air,4,1335.46,37.1,0.0012,0.00001,3.94624,72.25479,4543.96,4541.96,4545.96
,,Stainless Steel,2.5,1337.96,13.918,8.02,0.14406,4.09030,72.39885,4547.21,4545.96,4548.46
,,Air,0.4,1338.36,37.1,0.0012,0.00000,4.09030,72.39885,4548.66,4548.46,4548.86
,,PCB,1.6,1339.96,31.84,1.7,0.00854,4.09884,72.40740,4549.66,4548.86,4550.46
,,Air('electronics'),3.475,1343.435,37.1,0.0012,0.00001,4.09885,72.40741,4552.1975,4550.46,4553.935
,,PCB (Hexaboard),1.6,1345.035,31.84,1.7,0.00854,4.10740,72.41595,4554.735,4553.935,4555.535
,,glue,0.075,1345.11,42.6,1.3,0.00023,4.10762,72.41618,4555.5725,4555.535,4555.61
27,40,Si,0.3,1345.41,21.21,2.33,0.00330,4.11092,72.41947,4555.76,4555.61,4555.91
,,glue,0.075,1345.485,42.6,1.3,0.00023,0.00023,72.41970,4555.9475,4555.91,4555.985
,,kapton,0.1,1345.585,40.596,1.11,0.00027,0.00050,72.41998,4556.035,4555.985,4556.085
,,glue,0.075,1345.66,42.6,1.3,0.00023,0.00073,72.42020,4556.1225,4556.085,4556.16
,,baseplate (PCB),1,1346.66,31.84,1.7,0.00534,0.00607,72.42554,4556.66,4556.16,4557.16
,,Cooling plate (Cu),6.35,1353.01,12.86,8.96,0.44243,0.44850,72.86797,4560.335,4557.16,4563.51
,,Absorber plate,60.7,1413.71,13.918,8.02,3.49773,3.94623,76.36570,4593.86,4563.51,4624.21
,,Air,4,1417.71,37.1,0.0012,0.00001,3.94624,76.36571,4626.21,4624.21,4628.21
,,Stainless Steel,2.5,1420.21,13.918,8.02,0.14406,4.09030,76.50977,4629.46,4628.21,4630.71
,,Air,0.4,1420.61,37.1,0.0012,0.00000,4.09030,76.50977,4630.91,4630.71,4631.11
,,PCB,1.6,1422.21,31.84,1.7,0.00854,4.09884,76.51831,4631.91,4631.11,4632.71
,,Air('electronics'),3.475,1425.685,37.1,0.0012,0.00001,4.09885,76.51833,4634.4475,4632.71,4636.185
,,PCB (Hexaboard),1.6,1427.285,31.84,1.7,0.00854,4.10740,76.52687,4636.985,4636.185,4637.785
,,glue,0.075,1427.36,42.6,1.3,0.00023,4.10762,76.52710,4637.8225,4637.785,4637.86
28,41,Si,0.3,1427.66,21.21,2.33,0.00330,4.11092,76.53039,4638.01,4637.86,4638.16
,,glue,0.075,1427.735,42.6,1.3,0.00023,0.00023,76.53062,4638.1975,4638.16,4638.235
,,kapton,0.1,1427.835,40.596,1.11,0.00027,0.00050,76.53090,4638.285,4638.235,4638.335
,,glue,0.075,1427.91,42.6,1.3,0.00023,0.00073,76.53112,4638.3725,4638.335,4638.41
,,baseplate (PCB),1,1428.91,31.84,1.7,0.00534,0.00607,76.53646,4638.91,4638.41,4639.41
,,Cooling plate (Cu),6.35,1435.26,12.86,8.96,0.44243,0.44850,76.97889,4642.585,4639.41,4645.76
,,Absorber plate,60.7,1495.96,13.918,8.02,3.49773,3.94623,80.47662,4676.11,4645.76,4706.46
,,Air,4,1499.96,37.1,0.0012,0.00001,3.94624,80.47663,4708.46,4706.46,4710.46
,,Stainless Steel,2.5,1502.46,13.918,8.02,0.14406,4.09030,80.62069,4711.71,4710.46,4712.96
,,Air,0.4,1502.86,37.1,0.0012,0.00000,4.09030,80.62069,4713.16,4712.96,4713.36
,,PCB,1.6,1504.46,31.84,1.7,0.00854,4.09884,80.62923,4714.16,4713.36,4714.96
,,Air('electronics'),3.475,1507.935,37.1,0.0012,0.00001,4.09885,80.62925,4716.6975,4714.96,4718.435
,,PCB (Hexaboard),1.6,1509.535,31.84,1.7,0.00854,4.10740,80.63779,4719.235,4718.435,4720.035
,,glue,0.075,1509.61,42.6,1.3,0.00023,4.10762,80.63802,4720.0725,4720.035,4720.11
29,42,Si,0.3,1509.91,21.21,2.33,0.00330,4.11092,80.64131,4720.26,4720.11,4720.41
,,glue,0.075,1509.985,42.6,1.3,0.00023,0.00023,80.64154,4720.4475,4720.41,4720.485
,,kapton,0.1,1510.085,40.596,1.11,0.00027,0.00050,80.64181,4720.535,4720.485,4720.585
,,glue,0.075,1510.16,42.6,1.3,0.00023,0.00073,80.64204,4720.6225,4720.585,4720.66
,,baseplate (PCB),1,1511.16,31.84,1.7,0.00534,0.00607,80.64738,4721.16,4720.66,4721.66
,,Cooling plate (Cu),6.35,1517.51,12.86,8.96,0.44243,0.44850,81.08981,4724.835,4721.66,4728.01
,,Absorber plate,60.7,1578.21,13.918,8.02,3.49773,3.94623,84.58754,4758.36,4728.01,4788.71
,,Air,4,1582.21,37.1,0.0012,0.00001,3.94624,84.58755,4790.71,4788.71,4792.71
,,Stainless Steel,2.5,1584.71,13.918,8.02,0.14406,4.09030,84.73161,4793.96,4792.71,4795.21
,,Air,0.4,1585.11,37.1,0.0012,0.00000,4.09030,84.73161,4795.41,4795.21,4795.61
,,PCB,1.6,1586.71,31.84,1.7,0.00854,4.09884,84.74015,4796.41,4795.61,4797.21
,,Air('electronics'),3.475,1590.185,37.1,0.0012,0.00001,4.09885,84.74016,4798.9475,4797.21,4800.685
,,PCB (Hexaboard),1.6,1591.785,31.84,1.7,0.00854,4.10740,84.74871,4801.485,4800.685,4802.285
,,glue,0.075,1591.86,42.6,1.3,0.00023,4.10762,84.74894,4802.3225,4802.285,4802.36
30,43,Si,0.3,1592.16,21.21,2.33,0.00330,4.11092,84.75223,4802.51,4802.36,4802.66
,,glue,0.075,1592.235,42.6,1.3,0.00023,0.00023,84.75246,4802.6975,4802.66,4802.735
,,kapton,0.1,1592.335,40.596,1.11,0.00027,0.00050,84.75273,4802.785,4802.735,4802.835
,,glue,0.075,1592.41,42.6,1.3,0.00023,0.00073,84.75296,4802.8725,4802.835,4802.91
,,baseplate (PCB),1,1593.41,31.84,1.7,0.00534,0.00607,84.75830,4803.41,4802.91,4803.91
,,Cooling plate (Cu),6.35,1599.76,12.86,8.96,0.44243,0.44850,85.20073,4807.085,4803.91,4810.26
,,Absorber plate,60.7,1660.46,13.918,8.02,3.49773,3.94623,88.69846,4840.61,4810.26,4870.96
,,Air,4,1664.46,37.1,0.0012,0.00001,3.94624,88.69847,4872.96,4870.96,4874.96
,,Stainless Steel,2.5,1666.96,13.918,8.02,0.14406,4.09030,88.84253,4876.21,4874.96,4877.46
,,Air,0.4,1667.36,37.1,0.0012,0.00000,4.09030,88.84253,4877.66,4877.46,4877.86
,,PCB,1.6,1668.96,31.84,1.7,0.00854,4.09884,88.85107,4878.66,4877.86,4879.46
,,Air('electronics'),3.475,1672.435,37.1,0.0012,0.00001,4.09885,88.85108,4881.1975,4879.46,4882.935
,,PCB (Hexaboard),1.6,1674.035,31.84,1.7,0.00854,4.10740,88.85963,4883.735,4882.935,4884.535
,,glue,0.075,1674.11,42.6,1.3,0.00023,4.10762,88.85986,4884.5725,4884.535,4884.61
31,44,Si,0.3,1674.41,21.21,2.33,0.00330,4.11092,88.86315,4884.76,4884.61,4884.91
,,glue,0.075,1674.485,42.6,1.3,0.00023,0.00023,88.86338,4884.9475,4884.91,4884.985
,,kapton,0.1,1674.585,40.596,1.11,0.00027,0.00050,88.86365,4885.035,4884.985,4885.085
,,glue,0.075,1674.66,42.6,1.3,0.00023,0.00073,88.86388,4885.1225,4885.085,4885.16
,,baseplate (PCB),1,1675.66,31.84,1.7,0.00534,0.00607,88.86922,4885.66,4885.16,4886.16
,,Cooling plate (Cu),6.35,1682.01,12.86,8.96,0.44243,0.44850,89.31165,4889.335,4886.16,4892.51
,,Absorber plate,60.7,1742.71,13.918,8.02,3.49773,3.94623,92.80938,4922.86,4892.51,4953.21
,,Air,4,1746.71,37.1,0.0012,0.00001,3.94624,92.80939,4955.21,4953.21,4957.21
,,Stainless Steel,2.5,1749.21,13.918,8.02,0.14406,4.09030,92.95345,4958.46,4957.21,4959.71
,,Air,0.4,1749.61,37.1,0.0012,0.00000,4.09030,92.95345,4959.91,4959.71,4960.11
,,PCB,1.6,1751.21,31.84,1.7,0.00854,4.09884,92.96199,4960.91,4960.11,4961.71
,,Air('electronics'),3.475,1754.685,37.1,0.0012,0.00001,4.09885,92.96200,4963.4475,4961.71,4965.185
,,PCB (Hexaboard),1.6,1756.285,31.84,1.7,0.00854,4.10740,92.97055,4965.985,4965.185,4966.785
,,glue,0.075,1756.36,42.6,1.3,0.00023,4.10762,92.97078,4966.8225,4966.785,4966.86
32,45,Si,0.3,1756.66,21.21,2.33,0.00330,4.11092,92.97407,4967.01,4966.86,4967.16
,,glue,0.075,1756.735,42.6,1.3,0.00023,0.00023,92.97430,4967.1975,4967.16,4967.235
,,kapton,0.1,1756.835,40.596,1.11,0.00027,0.00050,92.97457,4967.285,4967.235,4967.335
,,glue,0.075,1756.91,42.6,1.3,0.00023,0.00073,92.97480,4967.3725,4967.335,4967.41
,,baseplate (PCB),1,1757.91,31.84,1.7,0.00534,0.00607,92.98014,4967.91,4967.41,4968.41
,,Cooling plate (Cu),6.35,1764.26,12.86,8.96,0.44243,0.44850,93.42257,4971.585,4968.41,4974.76
,,Absorber plate,60.7,1824.96,13.918,8.02,3.49773,3.94623,96.92030,5005.11,4974.76,5035.46
,,Air,4,1828.96,37.1,0.0012,0.00001,3.94624,96.92031,5037.46,5035.46,5039.46
,,Stainless Steel,2.5,1831.46,13.918,8.02,0.14406,4.09030,97.06437,5040.71,5039.46,5041.96
,,Air,0.4,1831.86,37.1,0.0012,0.00000,4.09030,97.06437,5042.16,5041.96,5042.36
,,PCB,1.6,1833.46,31.84,1.7,0.00854,4.09884,97.07291,5043.16,5042.36,5043.96
,,Air('electronics'),3.475,1836.935,37.1,0.0012,0.00001,4.09885,97.07292,5045.6975,5043.96,5047.435
,,PCB (Hexaboard),1.6,1838.535,31.84,1.7,0.00854,4.10740,97.08147,5048.235,5047.435,5049.035
,,glue,0.075,1838.61,42.6,1.3,0.00023,4.10762,97.08169,5049.0725,5049.035,5049.11
33,46,Si,0.3,1838.91,21.21,2.33,0.00330,4.11092,97.08499,5049.26,5049.11,5049.41
,,glue,0.075,1838.985,42.6,1.3,0.00023,0.00023,97.08522,5049.4475,5049.41,5049.485
,,kapton,0.1,1839.085,40.596,1.11,0.00027,0.00050,97.08549,5049.535,5049.485,5049.585
,,glue,0.075,1839.16,42.6,1.3,0.00023,0.00073,97.08572,5049.6225,5049.585,5049.66
,,baseplate (PCB),1,1840.16,31.84,1.7,0.00534,0.00607,97.09106,5050.16,5049.66,5050.66
,,Cooling plate (Cu),6.35,1846.51,12.86,8.96,0.44243,0.44850,97.53349,5053.835,5050.66,5057.01
,,Absorber plate,60.7,1907.21,13.918,8.02,3.49773,3.94623,101.03122,5087.36,5057.01,5117.71
,,Air,4,1911.21,37.1,0.0012,0.00001,3.94624,101.03123,5119.71,5117.71,5121.71
,,Stainless Steel,2.5,1913.71,13.918,8.02,0.14406,4.09030,101.17529,5122.96,5121.71,5124.21
,,Air,0.4,1914.11,37.1,0.0012,0.00000,4.09030,101.17529,5124.41,5124.21,5124.61
,,PCB,1.6,1915.71,31.84,1.7,0.00854,4.09884,101.18383,5125.41,5124.61,5126.21
,,Air('electronics'),3.475,1919.185,37.1,0.0012,0.00001,4.09885,101.18384,5127.9475,5126.21,5129.685
,,PCB (Hexaboard),1.6,1920.785,31.84,1.7,0.00854,4.10740,101.19239,5130.485,5129.685,5131.285
,,glue,0.075,1920.86,42.6,1.3,0.00023,4.10762,101.19261,5131.3225,5131.285,5131.36
34,47,Si,0.3,1921.16,21.21,2.33,0.00330,4.11092,101.19591,5131.51,5131.36,5131.66
,,glue,0.075,1921.235,42.6,1.3,0.00023,0.00023,101.19614,5131.6975,5131.66,5131.735
,,kapton,0.1,1921.335,40.596,1.11,0.00027,0.00050,101.19641,5131.785,5131.735,5131.835
,,glue,0.075,1921.41,42.6,1.3,0.00023,0.00073,101.19664,5131.8725,5131.835,5131.91
,,baseplate (PCB),1,1922.41,31.84,1.7,0.00534,0.00607,101.20198,5132.41,5131.91,5132.91
,,Cooling plate (Cu),6.35,1928.76,12.86,8.96,0.44243,0.44850,101.64441,5136.085,5132.91,5139.26
