Cassette #,Layer #,Material,Thickness (mm),Cumulative Thickness (mm),Radition Length (g/cm2),Density (g/cm3),# of Radiation Lengths,Layerwise Radiation Lentgh,Cumulative Radiation Length,Z values,Z min,Z max
,,PCB,1.6,127.775,31.84,1.7,0.00854,0.96023,8.33599,3337.475,3336.675,3338.275
,,Air('electronics'),3.73,131.505,37.1,0.0012,0.00001,0.96025,8.33600,3340.14,3338.275,3342.005
,,PCB (Hexaboard),1.6,133.105,31.84,1.7,0.00854,0.96879,8.34454,3342.805,3342.005,3343.605
,,glue,0.075,133.18,42.6,1.3,0.00023,0.96902,8.34477,3343.6425,3343.605,3343.68
5,9,SI,0.3,133.48,21.21,2.33,0.00330,0.97231,8.34806,3343.83,3343.68,3343.98
,,glue,0.065,133.545,42.6,1.3,0.00020,0.00020,8.34826,3344.0125,3343.98,3344.045
,,kapton,0.265,133.81,40.596,1.11,0.00072,0.00092,8.34899,3344.1775,3344.045,3344.31
,,glue,0.065,133.875,42.6,1.3,0.00020,0.00112,8.34919,3344.3425,3344.31,3344.375
,,Cu/W,1.4,135.275,7.669,14.979,0.27345,0.27457,8.62263,3345.075,3344.375,3345.775
,,Cooling plate (Cu),6.05,141.325,12.86,8.96,0.42152,0.69609,9.04416,3348.8,3345.775,3351.825
,,Cu/W,1.4,142.725,7.669,14.979,0.27345,0.96954,9.31760,3352.525,3351.825,3353.225
,,glue,0.065,142.79,42.6,1.3,0.00020,0.96974,9.31780,3353.2575,3353.225,3353.29
,,kapton,0.265,143.055,40.596,1.11,0.00072,0.97046,9.31853,3353.4225,3353.29,3353.555
,,glue,0.065,143.12,42.6,1.3,0.00020,0.97066,9.31872,3353.5875,3353.555,3353.62
5,10,SI,0.3,143.42,21.21,2.33,0.00330,0.97395,9.32202,3353.77,3353.62,3353.92
,,glue,0.075,143.495,42.6,1.3,0.00023,0.00023,9.32225,3353.9575,3353.92,3353.995
,,PCB (Hexaboard),1.6,145.095,31.84,1.7,0.00854,0.00877,9.33079,3354.795,3353.995,3355.595
,,Air('electronics'),3.73,148.825,37.1,0.0012,0.00001,0.00878,9.33080,3357.46,3355.595,3359.325
,,PCB,1.6,150.425,31.84,1.7,0.00854,0.01733,9.33935,3360.125,3359.325,3360.925
,,Air,0.225,150.65,37.1,0.0012,0.00000,0.01733,9.33935,3361.0375,3360.925,3361.15
,,Cu,0.1,150.75,12.86,8.96,0.00697,0.02429,9.34631,3361.2,3361.15,3361.25
,,Stainless Steel,0.3,151.05,13.918,8.02,0.01729,0.04158,9.36360,3361.4,3361.25,3361.55
,,glue,0.05,151.1,42.6,1.3,0.00015,0.04173,9.36375,3361.575,3361.55,3361.6
,,Lead,4.97,156.07,6.37,11.35,0.88555,0.92728,10.24930,3364.085,3361.6,3366.57
,,glue,0.05,156.12,42.6,1.3,0.00015,0.92744,10.24946,3366.595,3366.57,3366.62
,,Stainless Steel,0.3,156.42,13.918,8.02,0.01729,0.94472,10.26674,3366.77,3366.62,3366.92
,,Cu,0.1,156.52,12.86,8.96,0.00697,0.95169,10.27371,3366.97,3366.92,3367.02
,,Air,0.225,156.745,37.1,0.0012,0.00000,0.95169,10.27371,3367.1325,3367.02,3367.245
,,PCB,1.6,158.345,31.84,1.7,0.00854,0.96023,10.28225,3368.045,3367.245,3368.845
,,Air('electronics'),3.73,162.075,37.1,0.0012,0.00001,0.96025,10.28227,3370.71,3368.845,3372.575
,,PCB (Hexaboard),1.6,163.675,31.84,1.7,0.00854,0.96879,10.29081,3373.375,3372.575,3374.175
,,glue,0.075,163.75,42.6,1.3,0.00023,0.96902,10.29104,3374.2125,3374.175,3374.25
6,11,Si,0.3,164.05,21.21,2.33,0.00330,0.97231,10.29433,3374.4,3374.25,3374.55
,,glue,0.065,164.115,42.6,1.3,0.00020,0.00020,10.29453,3374.5825,3374.55,3374.615
,,kapton,0.265,164.38,40.596,1.11,0.00072,0.00092,10.29526,3374.7475,3374.615,3374.88
,,glue,0.065,164.445,42.6,1.3,0.00020,0.00112,10.29545,3374.9125,3374.88,3374.945
,,Cu/W,1.4,165.845,7.669,14.979,0.27345,0.27457,10.56890,3375.645,3374.945,3376.345
,,Cooling plate (Cu),6.05,171.895,12.86,8.96,0.42152,0.69609,10.99042,3379.37,3376.345,3382.395
,,Cu/W,1.4,173.295,7.669,14.979,0.27345,0.96954,11.26387,3383.095,3382.395,3383.795
,,glue,0.065,173.36,42.6,1.3,0.00020,0.96974,11.26407,3383.8275,3383.795,3383.86
,,kapton,0.265,173.625,40.596,1.11,0.00072,0.97046,11.26479,3383.9925,3383.86,3384.125
,,glue,0.065,173.69,42.6,1.3,0.00020,0.97066,11.26499,3384.1575,3384.125,3384.19
6,12,Si,0.3,173.99,21.21,2.33,0.00330,0.97395,11.26829,3384.34,3384.19,3384.49
,,glue,0.075,174.065,42.6,1.3,0.00023,0.00023,11.26852,3384.5275,3384.49,3384.565
,,PCB (Hexaboard),1.6,175.665,31.84,1.7,0.00854,0.00877,11.27706,3385.365,3384.565,3386.165
,,Air('electronics'),3.73,179.395,37.1,0.0012,0.00001,0.00878,11.27707,3388.03,3386.165,3389.895
,,PCB,1.6,180.995,31.84,1.7,0.00854,0.01733,11.28561,3390.695,3389.895,3391.495
,,Air,0.225,181.22,37.1,0.0012,0.00000,0.01733,11.28561,3391.6075,3391.495,3391.72
,,Cu,0.1,181.32,12.86,8.96,0.00697,0.02429,11.29258,3391.77,3391.72,3391.82
,,Stainless Steel,0.3,181.62,13.918,8.02,0.01729,0.04158,11.30987,3391.97,3391.82,3392.12
,,glue,0.05,181.67,42.6,1.3,0.00015,0.04173,11.31002,3392.145,3392.12,3392.17
,,Lead,4.97,186.64,6.37,11.35,0.88555,0.92728,12.19557,3394.655,3392.17,3397.14
,,glue,0.05,186.69,42.6,1.3,0.00015,0.92744,12.19572,3397.165,3397.14,3397.19
,,Stainless Steel,0.3,186.99,13.918,8.02,0.01729,0.94472,12.21301,3397.34,3397.19,3397.49
,,Cu,0.1,187.09,12.86,8.96,0.00697,0.95169,12.21998,3397.54,3397.49,3397.59
,,Air,0.225,187.315,37.1,0.0012,0.00000,0.95169,12.21998,3397.7025,3397.59,3397.815
,,PCB,1.6,188.915,31.84,1.7,0.00854,0.96023,12.22852,3398.615,3397.815,3399.415
,,Air('electronics'),3.73,192.645,37.1,0.0012,0.00001,0.96025,12.22853,3401.28,3399.415,3403.145
,,PCB (Hexaboard),1.6,194.245,31.84,1.7,0.00854,0.96879,12.23708,3403.945,3403.145,3404.745
,,glue,0.075,194.32,42.6,1.3,0.00023,0.96902,12.23730,3404.7825,3404.745,3404.82
7,13,Si,0.3,194.62,21.21,2.33,0.00330,0.97231,12.24060,3404.97,3404.82,3405.12
,,glue,0.065,194.685,42.6,1.3,0.00020,0.00020,12.24080,3405.1525,3405.12,3405.185
,,kapton,0.265,194.95,40.596,1.11,0.00072,0.00092,12.24152,3405.3175,3405.185,3405.45
,,glue,0.065,195.015,42.6,1.3,0.00020,0.00112,12.24172,3405.4825,3405.45,3405.515
,,Cu/W,1.4,196.415,7.669,14.979,0.27345,0.27457,12.51517,3406.215,3405.515,3406.915
,,Cooling plate (Cu),6.05,202.465,12.86,8.96,0.42152,0.69609,12.93669,3409.94,3406.915,3412.965
,,Cu/W,1.4,203.865,7.669,14.979,0.27345,0.96954,13.21014,3413.665,3412.965,3414.365
,,glue,0.065,203.93,42.6,1.3,0.00020,0.96974,13.21034,3414.3975,3414.365,3414.43
,,kapton,0.265,204.195,40.596,1.11,0.00072,0.97046,13.21106,3414.5625,3414.43,3414.695
,,glue,0.065,204.26,42.6,1.3,0.00020,0.97066,13.21126,3414.7275,3414.695,3414.76
7,14,Si,0.3,204.56,21.21,2.33,0.00330,0.97395,13.21456,3414.91,3414.76,3415.06
,,glue,0.075,204.635,42.6,1.3,0.00023,0.00023,13.21478,3415.0975,3415.06,3415.135
,,PCB (Hexaboard),1.6,206.235,31.84,1.7,0.00854,0.00877,13.22333,3415.935,3415.135,3416.735
,,Air('electronics'),3.73,209.965,37.1,0.0012,0.00001,0.00878,13.22334,3418.6,3416.735,3420.465
,,PCB,1.6,211.565,31.84,1.7,0.00854,0.01733,13.23188,3421.265,3420.465,3422.065
,,Air,0.225,211.79,37.1,0.0012,0.00000,0.01733,13.23188,3422.1775,3422.065,3422.29
,,Cu,0.1,211.89,12.86,8.96,0.00697,0.02429,13.23885,3422.34,3422.29,3422.39
,,Stainless Steel,0.3,212.19,13.918,8.02,0.01729,0.04158,13.25614,3422.54,3422.39,3422.69
,,glue,0.05,212.24,42.6,1.3,0.00015,0.04173,13.25629,3422.715,3422.69,3422.74
,,Lead,4.97,217.21,6.37,11.35,0.88555,0.92728,14.14184,3425.225,3422.74,3427.71
,,glue,0.05,217.26,42.6,1.3,0.00015,0.92744,14.14199,3427.735,3427.71,3427.76
,,Stainless Steel,0.3,217.56,13.918,8.02,0.01729,0.94472,14.15928,3427.91,3427.76,3428.06
,,Cu,0.1,217.66,12.86,8.96,0.00697,0.95169,14.16625,3428.11,3428.06,3428.16
,,Air,0.225,217.885,37.1,0.0012,0.00000,0.95169,14.16625,3428.2725,3428.16,3428.385
,,PCB,1.6,219.485,31.84,1.7,0.00854,0.96023,14.17479,3429.185,3428.385,3429.985
,,Air('electronics'),3.73,223.215,37.1,0.0012,0.00001,0.96025,14.17480,3431.85,3429.985,3433.715
,,PCB (Hexaboard),1.6,224.815,31.84,1.7,0.00854,0.96879,14.18334,3434.515,3433.715,3435.315
,,glue,0.075,224.89,42.6,1.3,0.00023,0.96902,14.18357,3435.3525,3435.315,3435.39
8,15,Si,0.3,225.19,21.21,2.33,0.00330,0.97231,14.18687,3435.54,3435.39,3435.69
,,glue,0.065,225.255,42.6,1.3,0.00020,0.00020,14.18707,3435.7225,3435.69,3435.755
,,kapton,0.265,225.52,40.596,1.11,0.00072,0.00092,14.18779,3435.8875,3435.755,3436.02
,,glue,0.065,225.585,42.6,1.3,0.00020,0.00112,14.18799,3436.0525,3436.02,3436.085
,,Cu/W,1.4,226.985,7.669,14.979,0.27345,0.27457,14.46144,3436.785,3436.085,3437.485
,,Cooling plate (Cu),6.05,233.035,12.86,8.96,0.42152,0.69609,14.88296,3440.51,3437.485,3443.535
,,Cu/W,1.4,234.435,7.669,14.979,0.27345,0.96954,15.15641,3444.235,3443.535,3444.935
,,glue,0.065,234.5,42.6,1.3,0.00020,0.96974,15.15660,3444.9675,3444.935,3445
,,kapton,0.265,234.765,40.596,1.11,0.00072,0.97046,15.15733,3445.1325,3445,3445.265
,,glue,0.065,234.83,42.6,1.3,0.00020,0.97066,15.15753,3445.2975,3445.265,3445.33
8,16,Si,0.3,235.13,21.21,2.33,0.00330,0.97395,15.16082,3445.48,3445.33,3445.63
,,glue,0.075,235.205,42.6,1.3,0.00023,0.00023,15.16105,3445.6675,3445.63,3445.705
,,PCB (Hexaboard),1.6,236.805,31.84,1.7,0.00854,0.00877,15.16959,3446.505,3445.705,3447.305
,,Air('electronics'),3.73,240.535,37.1,0.0012,0.00001,0.00878,15.16961,3449.17,3447.305,3451.035
,,PCB,1.6,242.135,31.84,1.7,0.00854,0.01733,15.17815,3451.835,3451.035,3452.635
,,Air,0.225,242.36,37.1,0.0012,0.00000,0.01733,15.17815,3452.7475,3452.635,3452.86
,,Cu,0.1,242.46,12.86,8.96,0.00697,0.02429,15.18512,3452.91,3452.86,3452.96
,,Stainless Steel,0.3,242.76,13.918,8.02,0.01729,0.04158,15.20240,3453.11,3452.96,3453.26
,,glue,0.05,242.81,42.6,1.3,0.00015,0.04173,15.20256,3453.285,3453.26,3453.31
,,Lead,4.97,247.78,6.37,11.35,0.88555,0.92728,16.08811,3455.795,3453.31,3458.28
,,glue,0.05,247.83,42.6,1.3,0.00015,0.92744,16.08826,3458.305,3458.28,3458.33
,,Stainless Steel,0.3,248.13,13.918,8.02,0.01729,0.94472,16.10555,3458.48,3458.33,3458.63
,,Cu,0.1,248.23,12.86,8.96,0.00697,0.95169,16.11251,3458.68,3458.63,3458.73
,,Air,0.225,248.455,37.1,0.0012,0.00000,0.95169,16.11251,3458.8425,3458.73,3458.955
,,PCB,1.6,250.055,31.84,1.7,0.00854,0.96023,16.12106,3459.755,3458.955,3460.555
,,Air('electronics'),3.73,253.785,37.1,0.0012,0.00001,0.96025,16.12107,3462.42,3460.555,3464.285
,,PCB (Hexaboard),1.6,255.385,31.84,1.7,0.00854,0.96879,16.12961,3465.085,3464.285,3465.885
,,glue,0.075,255.46,42.6,1.3,0.00023,0.96902,16.12984,3465.9225,3465.885,3465.96
9,17,Si,0.3,255.76,21.21,2.33,0.00330,0.97231,16.13314,3466.11,3465.96,3466.26
,,glue,0.065,255.825,42.6,1.3,0.00020,0.00020,16.13333,3466.2925,3466.26,3466.325
,,kapton,0.265,256.09,40.596,1.11,0.00072,0.00092,16.13406,3466.4575,3466.325,3466.59
,,glue,0.065,256.155,42.6,1.3,0.00020,0.00112,16.13426,3466.6225,3466.59,3466.655
,,Cu/W,1.4,257.555,7.669,14.979,0.27345,0.27457,16.40770,3467.355,3466.655,3468.055
,,Cooling plate (Cu),6.05,263.605,12.86,8.96,0.42152,0.69609,16.82923,3471.08,3468.055,3474.105
,,Cu/W,1.4,265.005,7.669,14.979,0.27345,0.96954,17.10267,3474.805,3474.105,3475.505
,,glue,0.065,265.07,42.6,1.3,0.00020,0.96974,17.10287,3475.5375,3475.505,3475.57
,,kapton,0.265,265.335,40.596,1.11,0.00072,0.97046,17.10360,3475.7025,3475.57,3475.835
,,glue,0.065,265.4,42.6,1.3,0.00020,0.97066,17.10380,3475.8675,3475.835,3475.9
9,18,Si,0.3,265.7,21.21,2.33,0.00330,0.97395,17.10709,3476.05,3475.9,3476.2
,,glue,0.075,265.775,42.6,1.3,0.00023,0.00023,17.10732,3476.2375,3476.2,3476.275
,,PCB (Hexaboard),1.6,267.375,31.84,1.7,0.00854,0.00877,17.11586,3477.075,3476.275,3477.875
,,Air('electronics'),3.73,271.105,37.1,0.0012,0.00001,0.00878,17.11588,3479.74,3477.875,3481.605
,,PCB,1.6,272.705,31.84,1.7,0.00854,0.01733,17.12442,3482.405,3481.605,3483.205
,,Air,0.225,272.93,37.1,0.0012,0.00000,0.01733,17.12442,3483.3175,3483.205,3483.43
,,Cu,0.1,273.03,12.86,8.96,0.00697,0.02429,17.13139,3483.48,3483.43,3483.53
,,Stainless Steel,0.3,273.33,13.918,8.02,0.01729,0.04158,17.14867,3483.68,3483.53,3483.83
,,glue,0.05,273.38,42.6,1.3,0.00015,0.04173,17.14883,3483.855,3483.83,3483.88
