 EventID   CumTr  TrackID  Layer        X_mm        Y_mm        Z_mm    pTot_MeV       Eta       Phi     Theta   Charge   Energy_MeV    Edep_MeV    PDG_ID
       0       4        5      7     221.227    -888.439    3313.110    4929.027    1.9688   -1.3083    0.2775      1.0     4824.501    0.243189       -13
       0       4        5      8     221.970    -891.167    3323.050    4915.040    1.9747   -1.3004    0.2759      1.0     4810.518    0.101910       -13
       0       4        5      9     223.526    -896.862    3343.680    4860.464    1.9598   -1.3101    0.2799      1.0     4755.954    0.084099       -13
       0       4        5     10     224.264    -899.624    3353.620    4848.155    1.9585   -1.3092    0.2803      1.0     4743.648    0.068822       -13
       0       4        5     11     225.854    -905.315    3374.250    4836.870    1.9714   -1.2834    0.2768      1.0     4732.366    0.095351       -13
       0       4        5     12     226.651    -908.028    3384.190    4825.931    1.9708   -1.2937    0.2769      1.0     4721.429    0.087639       -13
       0       4        5     13     228.244    -913.673    3404.820    4816.942    1.9697   -1.2993    0.2772      1.0     4712.442    0.098028       -13
       0       4        5     14     229.000    -916.403    3414.760    4805.430    1.9665   -1.2973    0.2781      1.0     4700.933    0.093086       -13
       0       4        5     15     230.595    -922.085    3435.390    4794.484    1.9607   -1.2980    0.2797      1.0     4689.990    0.192615       -13
       0       4        5     16     231.374    -924.837    3445.330    4784.265    1.9568   -1.2836    0.2808      1.0     4679.773    0.090872       -13
       0       4        5     17     233.043    -930.564    3465.960    4775.143    1.9499   -1.2921    0.2827      1.0     4670.653    0.073122       -13
       0       4        5     18     233.840    -933.339    3475.900    4762.291    1.9538   -1.2857    0.2816      1.0     4657.805    0.081137       -13
       0       4        5     19     235.758    -939.990    3499.780    4663.738    1.9467   -1.2974    0.2836      1.0     4559.276    0.093297       -13
       0       4        5     20     236.543    -942.760    3509.720    4650.978    1.9669   -1.2894    0.2780      1.0     4546.520    0.106180       -13
       0       4        5     21     238.456    -949.321    3533.600    4636.506    1.9597   -1.2821    0.2799      1.0     4532.051    0.083493       -13
       0       4        5     22     239.275    -952.069    3543.540    4622.904    1.9450   -1.2778    0.2840      1.0     4518.453    0.095464       -13
       0       4        5     23     241.281    -958.753    3567.420    4608.728    1.9441   -1.2812    0.2843      1.0     4504.281    0.078914       -13
       0       4        5     24     242.128    -961.539    3577.360    4597.176    1.9410   -1.2719    0.2852      1.0     4492.732    0.092131       -13
       0       4        5     25     244.154    -968.158    3601.240    4581.183    1.9657   -1.2731    0.2783      1.0     4476.743    0.077742       -13
       0       4        5     26     244.970    -970.894    3611.180    4568.827    1.9671   -1.2853    0.2779      1.0     4464.390    0.250508       -13
       0       4        5     27     250.447    -989.338    3678.360    4491.352    1.9582   -1.2803    0.2804      1.0     4386.936    0.080479       -13
       0       4        5     28     255.278   -1007.030    3741.410    4407.918    1.9485   -1.3253    0.2831      1.0     4303.526    0.112481       -13
       0       4        5     29     259.939   -1024.512    3804.460    4336.437    1.9729   -1.3058    0.2763      1.0     4232.066    0.134590       -13
       0       4        5     30     264.314   -1041.881    3867.510    4245.477    1.9612   -1.3066    0.2796      1.0     4141.133    0.081736       -13
       0       4        5     31     269.049   -1059.288    3930.560    4175.110    1.9593   -1.3077    0.2801      1.0     4070.789    0.075195       -13
       0       4        5     32     273.866   -1076.900    3993.610    4108.128    1.9572   -1.2996    0.2807      1.0     4003.828    0.098547       -13
       0       4        5     33     278.887   -1094.292    4056.660    4044.414    1.9768   -1.2747    0.2753      1.0     3940.136    0.083608       -13
       0       4        5     34     284.002   -1111.377    4119.710    3943.173    1.9641   -1.2873    0.2788      1.0     3838.930    0.135930       -13
       0       4        5     35     289.012   -1128.195    4182.760    3873.863    2.0121   -1.2924    0.2658      1.0     3769.645    0.102787       -13
       0       4        5     36     293.772   -1144.993    4245.810    3812.663    2.0062   -1.2908    0.2674      1.0     3708.469    0.110695       -13
       0       4        5     37     298.295   -1161.552    4308.860    3736.505    2.0332   -1.3100    0.2604      1.0     3632.341    0.084396       -13
       0       4        5     38     304.318   -1182.706    4391.110    3609.398    2.0323   -1.3009    0.2606      1.0     3505.286    0.094396       -13
       0       4        5     39     310.149   -1203.749    4473.360    3522.684    2.0200   -1.2996    0.2638      1.0     3418.610    0.094793       -13
       0       4        5     40     315.569   -1225.244    4555.610    3386.709    2.0181   -1.3510    0.2643      1.0     3282.699    0.092160       -13
       0       4        5     41     320.167   -1246.727    4637.860    3225.943    2.0491   -1.3520    0.2563      1.0     3122.015    0.106928       -13
